b0100009821;Набор резина №8 прокладка;2;Изоляция и уплотнение;Уплотнительные материалы;_;S;D0;21,17;32;1002-00053;&;0
b0100009822;Набор резина №10 прокладка;1;Изоляция и уплотнение;Уплотнительные материалы;_;Q;D0;19,4;33;1002-00054;&;0
b0100009889;Резак для ПП труб JRF PC-209 ПК Контур (0-75мм)  012400209010;8;Инструмент и сварочное оборудование;Инструмент и сопутствующие товары;ПК Контур;S;P2;2 108,55;4 445,6;1201-00529;&;0
b0100009931;Кран шаровой для мп латунь Faro Дн16х16  бабочка STC 1232;1;Запорная арматура;Краны;STC;Q;D0;151,67;242,57;0301-00027;&;0
b0100008464;Труба PP-RGF арм стекловолокном белый Дн20х3,4 Ру25 80C L=4м ПК Контур 010220020000;1 512;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;28,79;60,7;0105-00640;@;0
b0100008465;Труба PP-RGF арм стекловолокном белый Дн25х4,2 Ру25 80C L=4м ПК Контур 010220025000;1 392;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;45,63;96,2;0105-00641;@;0
b0100008466;Труба PP-RGF арм стекловолокном белый Дн32х5,4 Ру25 80C L=4м ПК Контур 010220032000;2 576;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;76,13;160,5;0105-00642;@;0
b0100008516;Тройник латунь переходн Дн20х16х16 пресс Valtec VTm.231.N.201616;82;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Valtec;Z;NL;233,46;377;0103-00950;&;0
b0100008517;Тройник латунь переходн Дн20х20х16 пресс Valtec VTm.231.N.202016;41;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Valtec;Q;D0;233,46;377;0103-00951;&;0
b0100008519;Тройник латунь Дн16х1/2"х16 пресс НР Valtec VTm.233.N.160416;25;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Valtec;Q;D0;135,63;160;0103-00953;&;0
b0100008523;Угольник латунь Дн20х3/4" пресс НР Valtec VTm.253.N.002005;10;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Valtec;Q;D0;147,72;233;0103-00957;&;0
b0100016918;Труба PP-RGF арм стекловолокном Дн32х5,4 Ру20 Политэк;12;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;Политэк;Z;D0;55,65;63;0105-01162;&;0
b0100016976;Кран шаровой сталь Ду40 Ру40 ВР/ВР Naval 284158;8;Запорная арматура;Краны;Naval;Z;NL;1 677,08;1 937;0301-01879;&;0
b0100012878;Набор для смесителя вентиля подводки резина №1 прокладка;5;Изоляция и уплотнение;Уплотнительные материалы;_;S;Pz;14,82;23,54;1002-00057;&;0
b0100012883;Кран шаровой сталь 11с967п Ду100 Ру16 фл c эл/привод А-Пром;1;Запорная арматура;Краны;А-Пром;Z;NL;63 199,02;72 995;0301-01810;&;0
