b0100007876;Клапан 904 Ду32/40/50 для невентилируемых магис HL;11;Водоотведение;Трубы для внутреннего водоотведения и соед части;HL;Z;D0;712,17;814;0304-00275;&;0
b0100007880;Переход НПВХ на чугун Дн110/100 Wavin 22746370;5;Водоотведение;Трубы для наружного водоотведения и соед части;Wavin;Z;NL;427,97;578;0202-00243;&;0
b0100007904;Тройник латунь переходн Дн20х3/4"х20 пресс НР для мп Comap 734EDE;5;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Comap;S;D0;318,07;482;0103-00304;&;0
b0100007905;Тройник латунь переходн Дн20х1/2"х20 пресс ВР для мп Comap 731ECE;6;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Comap;S;NL;272,52;413;0103-01224;&;0
b0100007932;Унитаз ЦОП белый бок/подвод кнопка б/комплекта с бачком Евро Новокузнецк;21;Сантехника;Унитазы;Новокузнецк;S;D0;1 490;2 372;0902-00038;@;0
b0100008043;Крепёж для труб PP Ду40;16;Трубопроводы и соединительные части;Крепежные изделия;_;S;D0;5,49;8;0112-00647;@;0
b0100008081;Клапан запорн MSV-S Ду20 Danfoss 003Z4012;20;Регулирующая и предохр арматура и автоматика;Клапаны балансировочные;Danfoss;S;P2;1 513,26;2 437,9;0403-00010;@;0
b0100008082;Клапан запорн MSV-S Ду25 Danfoss 003Z4013;23;Регулирующая и предохр арматура и автоматика;Клапаны балансировочные;Danfoss;S;P2;1 964,67;3 166,85;;&;0
b0100019644;Тройник латунь Дн26х1/2"х26 пресс НР Valtec VTm.233.N.260426;1;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Valtec;Z;NL;325,15;517,28;0103-01019;@;0
b0100019671;Сифон для ванны 1 1/2"x50 трубный с выпуском с гофрой нерж/сетка АНИ E255;33;Сантехника;Комплектующие и аксессуары к сантехнике;АНИ;S;D0;182,9;276;0908-00134;@;0
b0100019691;Труба НПВХ Дн160х4,0 L=1,0м Хемкор;15;Водоотведение;Трубы для наружного водоотведения и соед части;Хемкор;S;D0;198,87;281;0202-00267;@;0
b0100019696;Кран шаровой латунь Vito Ду15 ВР/ВР полный проход бабочка с фильтром STC 1731;9;Запорная арматура;Краны;STC;Q;D0;269,02;349,66;0301-00097;&;0
b0100019812;Кран шаровой сталь DZT Ду65 Ру16 фл Broen 6410316065;2;Запорная арматура;Краны;Broen;Z;NL;3 993,51;5 759;0301-00626;&;0
b0100019814;Кран шаровой сталь DZT Ду80 Ру16 фл Broen 6410316080;1;Запорная арматура;Краны;Broen;Z;NL;5 312,18;7 660;0301-00627;&;0
b0100020152;Угольник латунь Дн16х1/2" ВР Valtec VTm.352.N.001604;22;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Valtec;Z;NL;108,38;173,22;0103-01020;@;0
b0100020309;Кран шаровый латунь Ду15 Ру40 ВР/ВР Danfoss 065B8207;50;Запорная арматура;Краны;Danfoss;Z;NL;375;561,33;;@;0
b0100020310;Кран шаровый латунь Ду20 Ру40 ВР/ВР Danfoss 065B8208;10;Запорная арматура;Краны;Danfoss;Z;D0;558,21;833,42;;@;0
b0100020341;Воздухоотводчик Ду25 угл авт лев Giacomini R200X002;1;Отопительное оборудование;Воздухоотводчики;Giacomini;Z;NL;276,29;373,46;0504-00024;&;0
b0100020398;Трубка ST 22/13 L=2м 105C K-Flex;50;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;S;P2;50,14;100,74;1001-00170;&;0
b0100020402;Трубка ST 28/9 L=2м 105C K-Flex;53;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;S;P2;48,59;96,78;1001-00172;&;0
b0100020510;Клапан запорн сталь 15с22нж Ду25 Ру40 фл АРЗИЛ;5;Запорная арматура;Клапаны;АРЗИЛ;Z;NL;2 947,96;3 985;0304-00041;&;0
b0100020520;Трубка Solar HT 54/13 L=2м 150C K-Flex;16;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;Z;D0;288,06;629,44;1001-00186;@;0
b0100020522;Трубка Solar HT 60/13 L=2м 150C K-Flex;3;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;Z;D0;279,38;627,4;1001-00187;@;0
b0100020525;Трубка Solar HT 76/13 L=2м 150C K-Flex;12;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;Z;D0;373,66;839,16;1001-00189;@;0
b0100020660;Муфта PP-R комбинированн Дн32x1" НР ПК Контур 011211032300;21;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;73,21;131,2;0105-01176;@;0
b0100020952;Воздухоотводчик Ду15 авт Danfoss 065B822300;5;Отопительное оборудование;Воздухоотводчики;Danfoss;S;D2;357,85;534,83;0504-00025;&;0
b0100020999;Переход сталь Ду32х3,2-25х3,2 ПЗКТ;7;Трубопроводы и соединительные части;Труба стальная и соединительные части;ПЗКТ;S;D0;28;47;0101-01585;@;0
b0100021040;Соединитель PPSU Дн20х3/4" alpex-duo пресс НР Fraenkische 88620763;42;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Fraenkische;S;D0;116,22;242,94;0103-01023;@;0
b0100021054;Манжет переходн трехлепестковый белый Ду50х32 Симтек;119;Изоляция и уплотнение;Уплотнительные материалы;Симтек;Z;D0;5,86;9;1002-00005;&;0
b0100021213;Радиатор алюминий Alpha 350 7 секций 0,987кВт Ogint;1;Отопительное оборудование;Радиаторы;Ogint;S;P2;2 462,82;3 454,3;0502-00021;&;0
b0100021214;Радиатор алюминий Alpha 350 8 секций 1,128кВт Ogint;1;Отопительное оборудование;Радиаторы;Ogint;S;D1;2 813,8;3 948,05;0502-00022;@;0
b0100021601;Кран шаровой латунь Uno+  Ду15 ВР/ВР полный проход рычаг  STC 1750;173;Запорная арматура;Краны;STC;S;D0;116,33;185,74;0301-00067;@;0
b0100021805;Труба PP-RGF арм стекловолокном белый Дн90х15,0 Ру25 80C L=4м ПК Контур 010220090000;200;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;668,38;1 197,8;0105-00798;&;0
b0100021831;Кран шаровой латунь Uno+ Ду20 ВР/НР полный проход рычаг STC 1752;2;Запорная арматура;Краны;STC;S;P2;183,75;279,6;0301-00092;&;0
b0100021833;Кран шаровой латунь Uno+ Ду20 ВР/НР полный проход бабочка STC 1753;10;Запорная арматура;Краны;STC;S;D0;112,51;345,69;0301-00081;@;0
b0100021837;Кран шаровой латунь Uno+  Ду20 ВР/ВР полный проход рычаг  STC 1750;21;Запорная арматура;Краны;STC;S;D0;178,47;271,66;0301-00068;@;0
b0100021838;Кран шаровой латунь Uno+  Ду25 ВР/ВР полный проход рычаг  STC 1750;5;Запорная арматура;Краны;STC;S;D0;302,73;441,54;0301-00069;@;0
b0100021840;Кран шаровой латунь Uno+ Ду25 ВР/НР полный проход рычаг STC 1752;101;Запорная арматура;Краны;STC;S;D0;150,56;468,64;0301-00093;&;0
b0100021847;Кран шаровой латунь Uno+ Ду32 НР/НР полный проход рычаг STC 1754;5;Запорная арматура;Краны;STC;S;D0;489,13;718,49;0301-00131;&;0
b0100021848;Кран шаровой латунь Uno+ Ду15 ВР/ВР полный проход бабочка STC 1751;248;Запорная арматура;Краны;STC;S;D0;120,3;176,48;0301-00132;@;0
b0100021849;Кран шаровой латунь Uno+ Ду25 ВР/ВР полный проход бабочка STC 1751;139;Запорная арматура;Краны;STC;S;P2;284,88;440,21;0301-00133;@;0
b0100021850;Кран шаровой латунь Uno+ Ду15 ВР/НР полный проход бабочка STC 1753;297;Запорная арматура;Краны;STC;S;D0;132,86;198,29;0301-00082;@;0
b0100021851;Кран шаровой латунь Uno+ Ду25 ВР/НР полный проход бабочка STC 1753;5;Запорная арматура;Краны;STC;S;D0;289,51;444,18;0301-00083;@;0
b0100021920;Арматура для бачка пластик  бок/подвод шток универсал Уклад АБ66.03.14.0;151;Сантехника;Унитазы;Уклад;S;P2;131,77;211;0902-00099;@;0
b0100022020;Комплект RA-G/RA2940 для однотр системы Ду15 угл розница Danfoss 013G2143;85;Отопительное оборудование;Регулирующая арматура и узлы подключения для приборов отопления;Danfoss;Z;D0;1 868,77;3 300,17;;@;0
b0100022079;Вентиль PP-R запорн белый Дн20х1/2" НР для радиатора прямой ПК Контур 011123020100;24;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;134,98;241,9;0105-00561;&;0
b0100022219;Вентиль PP-R Дн63 ПК Контур 011121063010;9;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;Z;NL;602,76;1 080,2;0105-01187;@;0
b0100022475;Шайба 10 усиленная;450;Трубопроводы и соединительные части;Крепежные изделия;_;Z;D0;1,23;3;;&;0
b0100022545;Кран шаровой латунь Uno+ Ду20 ВР/ВР полный проход бабочка STC 1751;30;Запорная арматура;Краны;STC;S;D0;175,82;271;0301-00134;@;0
b0100022636;Кран шаровой латунь Uno+  Ду32 ВР/ВР полный проход рычаг  STC 1750;187;Запорная арматура;Краны;STC;S;P2;441,54;676,85;0301-00070;@;0
b0100022639;Кран шаровой латунь Uno+ Ду50 ВР/ВР полный проход рычаг STC 1750;5;Запорная арматура;Краны;STC;S;D0;1 058,23;1 691,46;0301-00072;@;0
b0100022641;Кран шаровой латунь Uno+ Ду15 ВР/НР полный проход рычаг STC 1752;104;Запорная арматура;Краны;STC;S;D0;124,26;198,29;0301-00096;@;0
b0100015499;Манометр ДМ02-100 радиальный Дк100 1,6МПа G1/2" Метер;10;Приборы учета и КИП;Термометры, манометры;Метер;S;D0;243,36;332;0701-00042;&;0
b0100015522;Термометр биметаллический ТБ63 осевой Дк63 L=40мм G1/2" 160C Метер;2;Приборы учета и КИП;Термометры, манометры;Метер;S;P2;180,19;286;0701-00010;&;0
b0100015601;Термометр керосиновый  прям  L=163мм 160C;2;Приборы учета и КИП;Термометры, манометры;_;S;P2;55,64;93;0701-00153;&;0
b0100015724;Клапан термостатическ  Ду20 угл Giacomini R401X034;2;Отопительное оборудование;Регулирующая арматура и узлы подключения для приборов отопления;Giacomini;Q;D0;218,98;313;0503-00180;&;0
b0100015804;Клапан пожарн латунь 15б3р Ду50 Ру10 ВР/ВР;63;Пожарное оборудование;Шкафы пожарные, устройства внутриквартирного пожаротушения и комплектующие;_;S;D0;540;764;1102-00022;@;0
b0100015962;Манометр ДМ02-063-1 радиальный Дк63 1,6МПа кл.т.1,5 G1/4 120C паспорт Метер;20;Приборы учета и КИП;Термометры, манометры;Метер;S;P2;129;176;0701-00248;&;0
b0100015984;Термометр биметаллический ТБ100 осевой Дк100 L=60мм в комплекте гильза защит 120C Метер;5;Приборы учета и КИП;Термометры, манометры;Метер;S;D0;225;357;0701-00116;&;0
b0100014752;Муфта PP-R усиленн комбинированн разъемн Дн40х1 1/2" ВР ПК Контур 011304040500;8;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;316,83;567,8;0105-01156;&;0
b0100014753;Муфта PP-R усиленн комбинированн разъемн Дн40х1 1/2" НР ПК Контур 011301040500;4;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;398,91;714,9;0105-01157;&;0
b0100030974;Муфта латунь хром Ду25 ВР/ВР для полотенцесушителя STC 5902;106;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;STC;S;P2;182,43;328,51;0111-00002;@;0
b0100030975;Муфта латунь переходн хром Ду25х20 ВР/ВР для полотенцесушителя STC 5903;5;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;STC;S;NL;164,58;296,12;0111-00003;&;0
b0100030976;Муфта латунь переходн хром Ду25х15 ВР/ВР для полотенцесушителя STC 5904;5;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;STC;S;P2;198,96;358,25;0111-00613;&;0
b0100031036;Планка монтажн 120/153 Fraenkische 84900116;35;Отопительное оборудование;Система отопления Теплый пол;Fraenkische;Z;D0;112,42;125;;&;0
b0100031100;Кран PP-R шаровый Дн50  Т2200ЕР000050;1;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;_;S;NL;310,66;444;0105-01206;&;0
b0100031107;Клапан эл/магн латунь EV220B Ду20 Danfoss 042U4032;1;Запорная арматура;Клапаны;Danfoss;Z;NL;4 246,64;6 246,39;0304-00380;@;0
b0100009703;Угольник PP-R двойн белый Дн20х1/2" ВР с креплением ПК Контур 011422020100;58;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;72,15;129,3;0105-01315;@;0
b0100009704;Кран PP-R шаровой Дн20х1/2" НР угл для радиатора ПК Контур 011105020100;14;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;119,46;214,1;0301-00014;@;0
b0100008204;Угольник PP-R комбинированн белый Дн25х3/4" ВР ПК Контур 011414025200;18;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;33,48;60;0105-00731;@;0
b0100008271;Контргайка сталь Ду20 по ГОСТ 8968-75 КНР;40;Трубопроводы и соединительные части;Труба стальная и соединительные части;КНР;Z;D0;9,9;11;0101-01443;&;0
b0100008338;Пробка   проходн 1/2" лев OTER;19;Отопительное оборудование;Радиаторы;OTER;Q;D0;18,79;31;0502-01401;&;0
b0100008339;Пробка   проходн 1/2" прав OTER;9;Отопительное оборудование;Радиаторы;OTER;Z;D0;18,79;31;0502-01402;&;0
b0100008340;Пробка   проходн 3/4" лев OTER;20;Отопительное оборудование;Радиаторы;OTER;Q;NL;18,79;31;0502-01403;&;0
b0100030376;Кран PP-R шаровый Дн25x3/4" НР ПК Контур 011107025200;2;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;Z;D0;125,27;224,5;0105-01202;@;0
b0100026477;Элемент термостатическ   Danfoss 013G2974;216;Отопительное оборудование;Регулирующая арматура и узлы подключения для приборов отопления;Danfoss;Z;D0;400,01;541;;@;0
b0100000799;Кронштейн для чуг/рад _ К6.7.20 кругл штырьевой с дюбелем Киров К6.10.20;15;Отопительное оборудование;Радиаторы;Киров;S;D0;14,68;25;0502-01117;@;0
b9300040389;Унитаз-компакт TOP ниж/подвод горизонт/выпуск Cersanit Эрика S-KO-TOP-ST-P;3;Сантехника;Унитазы;Cersanit;Z;D0;1 969,1;2 662;;&;0
b9300040715;Муфта латунь переходн Дн20х16 Бир Пекс 5410;1;Трубопроводы и соединительные части;Труба из сшитого полиэтилена (Pex)и соединительные части;Бир Пекс;Z;NL;74,05;100;;&;0
b9300040746;Соединитель латунь Дн16х1/2" НР Бир Пекс 5010;1;Трубопроводы и соединительные части;Труба из сшитого полиэтилена (Pex)и соединительные части;Бир Пекс;Z;D0;69,18;94;;&;0
b9300040761;Труба PE-X Стандарт Дн16х2,2 Бир Пекс 0111;600;Трубопроводы и соединительные части;Труба из сшитого полиэтилена (Pex)и соединительные части;Бир Пекс;Z;D0;57,73;78;;&;0
b9300041549;Клапан терморегулирующий  Ду15 угл Comap 380804;13;Отопительное оборудование;Регулирующая арматура и узлы подключения для приборов отопления;Comap;Z;NL;337;456;;&;0
b9300041724;Отвод сталь шовный крутоизогнутый оц Ду20 ТУ 1468-001-00218182-2005;68;Трубопроводы и соединительные части;Труба стальная и соединительные части;_;Z;D0;13,63;19;;&;0
b0100005998;Виброопора ZKB Ду32 фл Danfoss 149B5141C;2;Трубопроводы и соединительные части;Компенсаторы;Danfoss;D;P2;2 698,93;5 798,88;;&;0
b0100014250;Кран шаровой латунь Vito Ду20 ВР/НР полный проход бабочка STC 1703;5;Запорная арматура;Краны;STC;Z;NL;311,32;420,39;0301-00225;&;0
b0100014262;Труба PP-H серый Дн110х2,7 б/нап L=3м в комплекте СТК  033-0641;74;Водоотведение;Трубы для внутреннего водоотведения и соед части;СТК;Z;D0;272,64;368;0201-00105;&;0
b0100025918;Резьба сталь удлиненн оц Ду15 L=50мм из труб по ГОСТ 3262-75 КАЗ;205;Трубопроводы и соединительные части;Труба стальная и соединительные части;КАЗ;Z;NL;6,12;9;0101-00598;&;0
b0100026081;Хомут с р/прокладкой Ду159-166 (6") М8  б/комплекта;30;Трубопроводы и соединительные части;Крепежные изделия;_;S;D0;48,38;71;0112-00687;@;0
b0100026109;Комплект релейных модулей для сдвоенных насосов Grundfos 96409231;2;Насосное оборудование;Комплектующие и аксессуары для насосов;Grundfos;Z;NL;4 823,05;5 517;0802-00219;&;0
b0100026310;Клапан балансировочный  1 1/4" Comap 751410;2;Отопительное оборудование;Регулирующая арматура и узлы подключения для приборов отопления;Comap;Z;NL;2 943,69;3 368;0503-00315;&;0
b0100025405;Регулятор электрон ECL COMFORT 310B с погодной компенсацией на 230 V Danfoss 087H3050;2;Регулирующая и предохр арматура и автоматика;Комплектующие и аксессуары для ТА;Danfoss;Z;NL;28 883,7;46 734,08;;@;0
b0100025428;Смеситель для умывальника/мойки р/затвор пл/маховик  Подольск ЦС-СМ12;29;Сантехника;Смесители и краны для сан.узлов;Подольск;S;D0;421,2;617;0909-01275;@;0
b0100025431;Смеситель настенный нижний излив бел пластик маховики  Подольск ЦС СМ 294;29;Сантехника;Смесители и краны для сан.узлов;Подольск;S;P2;658,36;965;0909-01278;&;0
b0100025458;Калибратор для мп Дн16,20,26,32 535 STC  009-0384;1;Инструмент и сварочное оборудование;Инструмент и сопутствующие товары;STC;S;P2;514,91;758,81;1201-00035;&;0
b0100025562;Смеситель для ванны/умывальника пл/маховик  Подольск ЦС-СМ 674 ПВХ шланг;5;Сантехника;Смесители и краны для сан.узлов;Подольск;S;D0;903,76;1 323;0909-01282;&;0
b0100011099;Труба PP-H Дн32 L=1,0м Политэк;10;Водоотведение;Трубы для внутреннего водоотведения и соед части;Политэк;S;D0;31,74;60;0201-00557;&;0
