b0100009747;Ниппель для радиатора Ogint сталь кадмированная  Ду25 Ogint;136;Отопительное оборудование;Радиаторы;Ogint;S;P2;11,24;18,51;0502-00031;@;0
b0100009819;Набор резина №5 прокладка;5;Изоляция и уплотнение;Уплотнительные материалы;_;S;P2;15,39;25;1002-00052;&;0
b0100009912;Манометр ДМ02-100-1-M радиальный Дк100 1МПа кл.т.1,5 М20х1,5 160C Метер;1;Приборы учета и КИП;Термометры, манометры;Метер;Z;NL;243,36;329;0701-00044;&;0
b0100009931;Кран шаровой для мп латунь Faro  Дн16х16   бабочка  STC 1232;60;Запорная арматура;Краны;STC;S;P2;183,09;260,43;0301-00027;@;0
b0100009955;Круг отрезной по металлу Луга 125х1,2х22  73655;386;Инструмент и сварочное оборудование;Инструмент и сопутствующие товары;Луга;S;P2;11,61;16;1201-00532;&;0
b0100008464;Труба PP-RGF арм стекловолокном белый Дн20х3,4 Ру25 80C L=4м ПК Контур 010220020000;72;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D1;28,24;50,6;0105-00640;@;0
b0100008465;Труба PP-RGF арм стекловолокном белый Дн25х4,2 Ру25 80C L=4м ПК Контур 010220025000;108;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D1;41,8;74,9;0105-00641;@;0
b0100008522;Угольник латунь Дн16х1/2" пресс НР Valtec VTm.253.N.001604;12;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Valtec;Z;NL;108,38;173,22;0103-00956;@;0
b0100016949;Модуль интерфейса Modbus ECA 71 Danfoss 087B1126;1;Регулирующая и предохр арматура и автоматика;Комплектующие и аксессуары для ТА;Danfoss;Z;NL;14 505,78;22 668,49;;@;0
mt000000151;Тройник латунь переходн Дн26х26х20 пресс для мп Comap 733JJE;15;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Comap;S;NL;396,04;600;0103-00277;&;0
b0100012958;Комплект сварочный PROFF-Z 63 ПК Контур 800Вт 20-63мм с цифр. управлением  012202020610;1;Инструмент и сварочное оборудование;Инструмент и сопутствующие товары;ПК Контур;S;P2;2 530,58;4 535,1;1201-00642;&;0
b0100013165;Поддон чугун Макси Silver 800х800х250мм б/сифона Киров 023-1166;1;Сантехника;Кабины душевые, поддоны;Киров;Z;NL;5 305,01;7 173;0907-00032;&;0
b0100013175;Анкер латунь М8х28;136;Трубопроводы и соединительные части;Крепежные изделия;_;Z;D0;7,08;10;0112-00194;&;0
b0100013596;Конвектор Универсал ТБ-А КСК-20 0,400кВт конц без з/у резьба прав/лев тип У1 Сантехпром;6;Отопительное оборудование;Конвекторы;Сантехпром;Z;NL;741,42;825;0501-01860;@;0
b0100013925;Кран шаровой сталь вода КШЦФ Ду50 Ру40 фл полный проход рычаг LD 11110500402MULD000000000;6;Запорная арматура;Краны;LD;S;D0;1 529,55;1 980;0301-00723;&;0
b0100013992;Клапан термостатическ  Ду15 прям Giacomini R402X133;2;Отопительное оборудование;Регулирующая арматура и узлы подключения для приборов отопления;Giacomini;Z;NL;397,25;536,72;0503-00186;&;0
b0100013993;Элемент термостатическ   жид/нап Giacomini R456;9;Отопительное оборудование;Регулирующая арматура и узлы подключения для приборов отопления;Giacomini;Z;NL;544,65;622,65;0503-00086;&;0
b0100014054;Клапан ручной R422DX014 Ду20   Giacomini 022-0143;13;Регулирующая и предохр арматура и автоматика;Клапаны регулирующие;Giacomini;Z;NL;371,07;478;;&;0
b0100014088;Смеситель для ванны короткий излив Pramen LeMark LM3302С;5;Сантехника;Смесители и краны для сан.узлов;LeMark;Z;NL;2 635;4 581;0909-01138;&;0
b0100014109;Муфта латунь переходн Дн32х26 пресс Valtec VTm.203.N.003226;24;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Valtec;Z;NL;318,81;507,78;0103-00995;@;0
b0100014115;Клапан запорн латунь 15б3р Ду15 Ру10  ВР/ВР  STC 0100;48;Запорная арматура;Клапаны;STC;S;P2;129,55;237,29;0304-00001;&;0
b0100014116;Клапан запорн латунь 15б3р Ду20 Ру10  ВР/ВР  STC 0100;30;Запорная арматура;Клапаны;STC;S;P2;170,53;313,97;0304-00002;&;0
b0100014120;Клапан запорн латунь 15б3р Ду50 Ру10 ВР/ВР STC 0100;5;Запорная арматура;Клапаны;STC;S;D0;879,77;1 616,76;0304-00303;&;0
b0100014122;Клапан запорн латунь 15б1п Ду15 Ру16 ВР/ВР STC 0200;70;Запорная арматура;Клапаны;STC;S;D0;136,82;251,17;0304-00005;&;0
b0100014123;Клапан запорн латунь 15б1п Ду20 Ру16 ВР/ВР STC 0200;51;Запорная арматура;Клапаны;STC;S;D0;174,5;339,08;0304-00006;&;0
b0100014124;Клапан запорн латунь 15б1п Ду25 Ру16 ВР/ВР STC 0200;42;Запорная арматура;Клапаны;STC;S;D0;237,29;508,3;0304-00007;&;0
b0100014125;Клапан запорн латунь 15б1п Ду32 Ру16 ВР/ВР STC 0200;28;Запорная арматура;Клапаны;STC;S;P2;417,08;854,65;0304-00050;&;0
b0100014126;Клапан запорн латунь 15б1п Ду40 Ру16 ВР/ВР STC 0200;16;Запорная арматура;Клапаны;STC;S;P2;645,12;1 437,64;0304-00008;&;0
b0100014127;Клапан запорн латунь 15б1п Ду50 Ру16 ВР/ВР STC 0200;36;Запорная арматура;Клапаны;STC;S;D0;843,41;1 800,52;0304-00051;&;0
b0100014132;Затвор дисковый поворотный  Ду300 Ру16 межфл рукоятка чуг.,диск-чуг,EPDМ,110С KVANT;1;Запорная арматура;Затворы;KVANT;S;D0;8 124,06;12 308;0303-00226;&;0
b0100005237;Задвижка аналог МЗВГ  чугун Ду50 Ру16 150C КНР;2;Запорная арматура;Задвижки;КНР;S;P2;1 691,07;2 425;0302-00087;&;0
b0100005275;Угольник PP-R комбинированн белый Дн25х3/4" НР ПК Контур 011411025200;15;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;43,02;77,1;0105-00029;@;0
b0100005277;Угольник PP-R комбинированн белый Дн25х1/2" НР ПК Контур 011411025100;254;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;33,54;60,1;0105-00777;@;0
b0100005294;Труба PEX-AL-PE мп Дн16х2,0 alpex-duo XS бухта 200м Fraenkische 83516711;800;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Fraenkische;S;D0;37,68;92,9;0103-00890;@;0
b0100005295;Угольник латунь уст Дн16х1/2" alpex-duo пресс ВР L=35мм Fraenkische 86816720;100;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Fraenkische;S;D0;194,89;407,38;0103-00891;@;0
b0100005296;Угольник латунь уст Дн20х1/2" alpex-duo пресс ВР L=35мм Fraenkische 86820720;15;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Fraenkische;S;D0;255,97;535,05;0103-00892;@;0
b0100010491;Вакуум-клапан PP Ду50;10;Водоотведение;Трубы для внутреннего водоотведения и соед части;_;S;D0;61,35;94;0201-00555;&;0
b0100010522;Расходомер ЭРСВ-420Л/440Л эл/магн  Ду50 сэндвич Взлет;2;Приборы учета и КИП;Теплосчетчики;Взлет;Z;D0;15 091,85;17 265;0705-00339;&;0
b0100010621;Комплект  универ  монтажн Ду20 в блистере 7предметов Ogint;162;Отопительное оборудование;Радиаторы;Ogint;S;P2;134,18;225,4;0502-00030;&;0
b0100010623;Радиатор биметалл M Series 500 6 секций 1,080кВт Ogint;10;Отопительное оборудование;Радиаторы;Ogint;S;D0;2 980,37;4 429,25;0502-00075;@;0
b0100030522;Кран шаровой сталь DZT Ду150 Ру16 п/привар 150C Broen 4110216150;2;Запорная арматура;Краны;Broen;S;P2;10 367,8;15 399;0301-00461;&;0
b0100030627;Сифон для умывальника/мойки 1 1/2"х40/50 бутылочный с гофрой нерж/сетка АНИ С0115;4;Сантехника;Комплектующие и аксессуары к сантехнике;АНИ;S;P2;101,24;160;0908-00041;&;0
b0100018202;Кран дренажный латунь Ду1/2" ВР Valtec VT.430.N.04;3;Запорная арматура;Краны;Valtec;Z;NL;203,4;297,79;0301-01921;@;0
b9300043486;Унитаз-компакт Радуга тарельчатый косой выпуск стандарт Оскол;104;Сантехника;Унитазы;Оскол;Z;D0;1 970;2 663;;&;0
b9300043750;Перчатки оранжевый  с плотным покрытием черн;117;Инструмент и сварочное оборудование;Инструмент и сопутствующие товары;_;Z;D0;70;95;;&;0
b0100016422;Фильтр сетчатый Ду50 ВР/ВР БАЗ 036-0298;1;Регулирующая и предохр арматура и автоматика;Фильтры и грязевики;БАЗ;S;NL;648,37;1 137;0406-00267;&;0
b0100016549;Термоманометр ТМТБр радиальный Дк80 1МПа 120C Росма 011-0084;2;Приборы учета и КИП;Термометры, манометры;Росма;S;D1;745,58;1 017;0701-00085;&;0
b0200039280;Конвектор F117 DESIGN 2кВт 220В эл  ATLANTIC 513820;1;Отопительное оборудование;Конвекторы;ATLANTIC;Z;D0;2 816,05;4 400;;@;0
b0100007851;Труба PEX-AL-PEX мп Дн20х2,0 Valtec V2020;100;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Valtec;S;P2;76,72;103,81;0103-00918;@;0
