b0100009747;Ниппель для радиатора Ogint сталь кадмированная  Ду25 Ogint;41;Отопительное оборудование;Радиаторы;Ogint;Z;NL;6,07;6,68;0502-00031;@;1
b0100009749;Радиатор алюминий KONNER LUX85 500 8 секций Konner;1;Отопительное оборудование;Радиаторы;Konner;Z;NL;1 855,38;1 948,15;0502-01425;@;1
b0100009766;Чаша чугун Генуя напольн эмаль белый б/комплекта;2;Сантехника;Унитазы;_;S;D0;2 188,46;3 501,54;0902-00310;&;0
b0100009816;Полотенцесушитель сталь П-образный 500х500 3/4" с наружной резьбой оц;114;Сантехника;Полотенцесушители;_;Q;D0;340,01;442;;&;0
b0100009833;Элемент терморегулирующий RAW-K  жидк Danfoss 013G5030;120;Отопительное оборудование;Регулирующая арматура и узлы подключения для приборов отопления;Danfoss;S;Pz;620,98;1 095,56;;&;0
b0100009871;Воздухоотводчик Ду25 авт лев Icma 82.716.AT.06    019-0295;22;Отопительное оборудование;Воздухоотводчики;Icma;Z;NL;267,4;280,77;0504-00020;@;1
b0100009921;Тройник сталь оц Дн89х3,5-57х3,0 ГОСТ 17376-2001 УТД;2;Трубопроводы и соединительные части;Труба стальная и соединительные части;УТД;Z;NL;1 040,3;1 092,32;;@;1
b0100010033;Угольник PP-R комбинированн белый Дн32х3/4" НР ПК Контур 011411032200;34;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;73,08;155,6;0105-00693;@;0
b0100008464;Труба PP-RGF арм стекловолокном белый Дн20х3,4 Ру25 80C L=4м ПК Контур 010220020000;1 132;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;28,51;60,7;0105-00640;@;0
b0100008465;Труба PP-RGF арм стекловолокном белый Дн25х4,2 Ру25 80C L=4м ПК Контур 010220025000;744;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;45,18;96,2;0105-00641;@;0
b0100008466;Труба PP-RGF арм стекловолокном белый Дн32х5,4 Ру25 80C L=4м ПК Контур 010220032000;442;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;75,38;160,5;0105-00642;@;0
b0100008456;Трубка имп  1,5м Danfoss 003L8152;97;Регулирующая и предохр арматура и автоматика;Комплектующие и аксессуары для ТА;Danfoss;Z;NL;883,12;1 896,49;;@;1
b0100008462;Клапан запорн сталь 15с52нж9 Ду15 Ру63 фл ИКАР;1;Запорная арматура;Клапаны;ИКАР;Z;NL;979,7;1 028,69;0304-00112;&;2
b0100008519;Тройник латунь Дн16х1/2"х16 пресс НР Valtec VTm.233.N.160416;16;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Valtec;Z;NL;88,78;145;0103-00953;&;2
b0100008522;Угольник латунь Дн16х1/2" пресс НР Valtec VTm.253.N.001604;2;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Valtec;Z;NL;58,78;190;0103-00956;&;2
b0100008549;Картридж  ПРОФИ Карбон-блок  Барьер;2;Регулирующая и предохр арматура и автоматика;Фильтры и грязевики;Барьер;Z;NL;175,03;183,78;;&;2
