b0100014117;Клапан запорн латунь 15б3р Ду25 Ру10  ВР/ВР  STC 0100;293;Запорная арматура;Клапаны;STC;S;P2;193,04;355,94;0304-00003;&;0;0
b0100014118;Клапан запорн латунь 15б3р Ду32 Ру10  ВР/ВР  STC 0100;36;Запорная арматура;Клапаны;STC;S;P2;344,71;633,75;0304-00004;&;0;0
b0100014119;Клапан запорн латунь 15б3р Ду40 Ру10 ВР/ВР STC 0100;17;Запорная арматура;Клапаны;STC;S;P2;422,26;1 057,61;0304-00031;&;0;0
b0100014120;Клапан запорн латунь 15б3р Ду50 Ру10 ВР/ВР STC 0100;0;Запорная арматура;Клапаны;STC;S;D2;679,71;1 249,12;0304-00303;&;0;0
b0100014122;Клапан запорн латунь 15б1п Ду15 Ру16 ВР/ВР STC 0200;27;Запорная арматура;Клапаны;STC;S;D1;89,37;194,06;0304-00005;&;0;0
b0100014123;Клапан запорн латунь 15б1п Ду20 Ру16 ВР/ВР STC 0200;51;Запорная арматура;Клапаны;STC;S;D0;134,82;261,98;0304-00006;&;0;0
b0100014124;Клапан запорн латунь 15б1п Ду25 Ру16 ВР/ВР STC 0200;164;Запорная арматура;Клапаны;STC;S;Pz;183,33;377,39;0304-00007;&;0;0
b0100014125;Клапан запорн латунь 15б1п Ду32 Ру16 ВР/ВР STC 0200;62;Запорная арматура;Клапаны;STC;S;P2;322,24;634,77;0304-00050;&;0;0
b0100009706;Фильтр PP-R сетчатый белый Дн32 ВР/НР ПК Контур 011131032000;25;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;161,91;348,2;0105-00036;@;0;0
b0100009726;Труборез Valtec 14-35  VTm.397.0.160032;4;Инструмент и сварочное оборудование;Инструмент и сопутствующие товары;Valtec;S;P2;825,47;1 272;1201-00526;&;0;0
b0100009746;Угольник латунь уст Дн26x3/4"х53 пресс ВР Comap 771JDX;0;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Comap;Z;NL;259,91;278;0103-00973;&;0;8
b0100008200;Клапан обратный латунь 3121 Ду25 Ру25 ВР/ВР пружинный 110C GENEBRE;114;Регулирующая и предохр арматура и автоматика;Затворы, клапаны обратные;GENEBRE;S;Pz;332,16;469,48;0405-00313;&;0;0
b0100008156;Муфта латунь Дн16х1/2" пресс нак/г Comap 762BCX;69;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Comap;S;D0;111,6;206;0103-00942;&;0;0
