00000002176;Труба PP-R белый Дн50х8,3 Ру20 80C L=4м ПК Контур 010200050000;964;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;143,87;309,4;0105-00021;@;0
00000002177;Муфта PP-R переходн Дн32х20 ПК Контур 011203032100;639;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;4,28;9,2;0105-00999;@;0
00000002178;Муфта PP-R переходн Дн32х25 ПК Контур 011203032200;227;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D1;4,79;10,3;0105-01000;@;0
00000002179;Муфта PP-R переходн белый Дн40х20 ПК Контур 011203040100;506;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;7,12;15,3;0105-00658;@;0
00000002180;Муфта PP-R переходн белый Дн40х25 ПК Контур 011203040200;300;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;7,16;15,4;0105-00659;@;0
00000002181;Муфта PP-R переходн белый Дн40х32 ПК Контур 011203040300;212;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;8,7;18,7;0105-00660;@;0
00000002182;Муфта PP-R переходн белый Дн50х20 ПК Контур 011203050100;105;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;13,3;28,6;0105-00661;&;0
00000002184;Муфта PP-R переходн белый Дн50х32 ПК Контур 011203050300;377;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;13,58;29,2;0105-00662;@;0
00000002185;Муфта PP-R переходн белый Дн50х40 ПК Контур 011203050400;314;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;14,69;31,6;0105-00663;@;0
00000002186;Тройник PP-R переходн Дн32х20х20  011503032100;4;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;_;S;P2;10,21;18,3;0105-01001;0;0
00000002187;Тройник PP-R переходн Дн32х20х32 ПК Контур 011503032300;739;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;10,09;21,7;0105-00702;@;0
00000002188;Тройник PP-R переходн Дн32х25х32 ПК Контур 011503032600;520;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;10,56;22,7;0105-00703;@;0
00000002189;Тройник PP-R переходн Дн40х20х40 ПК Контур 011503040200;391;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;17,25;37,1;0105-00704;@;0
00000002190;Тройник PP-R переходн Дн40х25х40 ПК Контур 011503040400;558;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;19,34;41,6;0105-00705;@;0
00000002191;Тройник PP-R переходн Дн40х32х40 ПК Контур 011503040600;388;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;19,43;41,8;0105-00706;@;0
00000002192;Тройник PP-R переходн Дн50х25х50 ПК Контур 011503050400;301;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;37,02;79,6;0105-01002;@;0
00000002193;Тройник PP-R переходн Дн50х32х50 ПК Контур 011503050600;365;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;37,81;81,3;0105-01003;@;0
00000002194;Тройник PP-R переходн Дн50х40х50 ПК Контур 011503050800;204;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;40,27;86,6;0105-01004;@;0
00000002195;Угольник PP-R белый Дн40 ПК Контур 011401040000;751;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;15,39;33,1;0105-01005;@;0
00000002196;Угольник PP-R белый Дн50 ПК Контур 011401050000;280;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;28,32;60,9;0105-00685;@;0
00000002197;Муфта PP-R Дн40 ПК Контур 011201040000;525;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;8,51;18,3;0105-01006;@;0
00000002198;Муфта PP-R Дн50 ПК Контур 011201050000;306;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;16,84;36,2;0105-01007;@;0
00000002199;Опора PP-R Дн40  011609040000;447;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;_;S;D0;3,74;8;0105-01008;@;0
00000002200;Опора PP-R Дн50 с защелкой  011609050010;344;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;_;S;D0;7,16;18;0105-01009;@;0
00000002208;Умывальник хирургический белый б/отверстия б/комплекта Киров;1;Сантехника;Умывальники;Киров;Z;NL;2 026,3;2 211;0903-00053;&;0
00000002211;Угольник PP-R комбинированн белый Дн25х1/2" ВР ПК Контур 011414025100;162;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;30,69;66;0105-00732;@;0
00000002212;Угольник PP-R комбинированн белый Дн32х1" ВР ПК Контур 011414032300;45;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;87,6;188,4;0105-00733;@;0
00000002213;Угольник PP-R комбинированн белый Дн32х1" НР ПК Контур 011411032300;9;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;95,6;205,6;0105-00695;@;0
00000002214;Тройник PP-R комбинированн белый Дн20х3/4" ВР ПК Контур 011512020200;70;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;48,26;103,8;0105-00711;@;0
00000002215;Муфта PP-R комбинированн Дн32х1/2" НР ПК Контур 011211032100;74;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;48,73;104,8;0105-01010;@;0
00000002216;Муфта PP-R комбинированн Дн32х3/4" НР ПК Контур 011211032200;52;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;58,68;126,2;0105-01011;@;0
00000002217;Муфта PP-R комбинированн под ключ белый Дн32х1" НР ПК Контур 011215032300;102;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;150,93;324,6;0105-00680;@;0
00000002237;Манометр MDR радиальный Дк50 0,6МПа кл.т.1,6 G1/4 80C Watts 10007378/ 03.12.106;5;Приборы учета и КИП;Термометры, манометры;Watts;S;D0;191,59;274,63;0701-00219;&;0
00000002238;Манометр MDR радиальный Дк50 1,6МПа кл.т.1,6 G1/4 80C Watts 03.12.116;6;Приборы учета и КИП;Термометры, манометры;Watts;S;P2;194,85;262,69;0701-00220;&;0
00000002250;Ванна сталь 1700х700х400мм Antika белый в комплекте с ножками 1CE ВИЗ;21;Сантехника;Ванны;ВИЗ;S;P2;3 286,98;4 602;0901-00117;@;0
00000002252;Тройник PP-R Дн40 ПК Контур 011501040000;457;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;19,95;42,9;0105-01012;@;0
00000002253;Муфта PP-R комбинированн Дн32х1/2" ВР ПК Контур 011212032100;156;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;36,5;78,5;0105-01013;&;0
00000002254;Муфта PP-R комбинированн Дн32х3/4" ВР ПК Контур 011212032200;49;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;48,26;103,8;0105-01014;@;0
00000002255;Муфта PP-R комбинированн Дн32x1" ВР ПК Контур 011212032300;166;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;75,24;161,8;0105-01015;@;0
00000002296;Муфта PP-R усиленн комбинированн разъемн Дн25х1" НР ПК Контур 011301025300;177;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;166,24;357,5;0105-01016;&;0
00000002297;Муфта PP-R усиленн комбинированн разъемн Дн32x1" НР ПК Контур 011301032300;100;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;223,06;479,7;0105-01017;@;0
00000002298;Муфта PP-R усиленн комбинированн разъемн Дн40х1 1/4" НР ПК Контур 011301040400;111;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;426,74;917,7;0105-01018;@;0
00000002299;Муфта PP-R усиленн комбинированн разъемн Дн50х1 1/2" НР ПК Контур 011301050500;17;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;624,92;1 343,9;0105-01019;@;0
00000002316;Муфта PP-R усиленн комбинированн разъемн Дн20x3/4" ВР ПК Контур 011304020200;390;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;107,92;232,1;0105-01021;@;0
00000002327;Муфта PP-R усиленн комбинированн разъемн Дн32x1" ВР ПК Контур 011304032300;222;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;211,72;455,3;0105-01022;@;0
00000002328;Муфта PP-R усиленн комбинированн разъемн Дн40х1 1/4" ВР ПК Контур 011304040400;65;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;377,62;812,1;0105-01023;@;0
00000002329;Муфта PP-R усиленн комбинированн разъемн Дн50х1 1/2" ВР ПК Контур 011304050500;44;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;555,26;1 194,1;0105-01024;@;0
00000002330;Умывальник 590х450мм Волна белый 1 отверстие 1с (ТУ52) ЗКИ;1;Сантехника;Умывальники;ЗКИ;Q;D0;636,1;1 115;0903-00268;&;0
00000002374;Манометр МП-100  Дк100 0,6МПа М20х1,5 ЗаводТеплИзд;14;Приборы учета и КИП;Термометры, манометры;ЗаводТеплИзд;S;P2;191,34;338;0701-00019;&;0
00000002375;Манометр МП-100  Дк100 1МПа М20х1,5 ЗаводТеплИзд;14;Приборы учета и КИП;Термометры, манометры;ЗаводТеплИзд;S;D2;154,05;275;0701-00020;&;0
00000002376;Манометр МП-100  Дк100 1,6МПа М20х1,5 ЗаводТеплИзд;48;Приборы учета и КИП;Термометры, манометры;ЗаводТеплИзд;S;D0;191,34;335;0701-00001;&;0
00000002377;Манометр МП-100  Дк100 2,5МПа М20х1,5 ЗаводТеплИзд;10;Приборы учета и КИП;Термометры, манометры;ЗаводТеплИзд;S;P2;191,34;335;0701-00021;&;0
00000002378;Манометр МП-160  Дк160 1МПа М20х1,5 ЗаводТеплИзд;3;Приборы учета и КИП;Термометры, манометры;ЗаводТеплИзд;S;D1;420,27;742;0701-00022;&;0
00000002379;Манометр МП-160  Дк160 1,6МПа М20х1,5 ЗаводТеплИзд;15;Приборы учета и КИП;Термометры, манометры;ЗаводТеплИзд;S;P2;420,27;735;0701-00023;&;0
00000002406;Манометр MDR радиальный Дк50 1,0МПа кл.т.1,6 G1/4 80C Watts 10007380/ 03.12.110;2;Приборы учета и КИП;Термометры, манометры;Watts;S;D2;191,59;274,63;0701-00221;&;0
00000002417;Муфта PP-R переходн белый Дн63х32 ПК Контур 011203063300;220;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;25,44;54,7;0105-00657;@;0
00000002418;Тройник PP-R комбинированн белый Дн25х1/2" НР ПК Контур 011511025100;348;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;44,31;95,3;0105-00032;&;0
00000003310;Прокладка кольцевая паронит Ду200 Ру10-16  ГОСТ 15180-86;0;Изоляция и уплотнение;Уплотнительные материалы;_;S;D2;16,69;44;1002-00115;0;0
00000003313;Труба сталь ВГП Ду15 s=2,8мм ГОСТ 3262-75 ТМК;683,5;Трубопроводы и соединительные части;Труба стальная и соединительные части;ТМК;S;P2;54,58;82;0101-01002;@;0
00000003314;Труба сталь ВГП Ду20 s=2,8мм ГОСТ 3262-75 ТМК;1 574,3;Трубопроводы и соединительные части;Труба стальная и соединительные части;ТМК;S;D1;68,85;103;0101-01003;@;0
00000003316;Труба сталь ВГП Ду25 s=3,2мм ГОСТ 3262-75 ТМК;1 459,6;Трубопроводы и соединительные части;Труба стальная и соединительные части;ТМК;S;D0;91,19;136;0101-01004;@;0
00000003318;Труба сталь ВГП Ду32 s=3,2мм ГОСТ 3262-75 ТМК;1 022,8;Трубопроводы и соединительные части;Труба стальная и соединительные части;ТМК;S;D0;118,63;177;0101-01005;@;0
00000003319;Труба сталь ВГП Ду40 s=3,5мм ГОСТ 3262-75 ТМК;906;Трубопроводы и соединительные части;Труба стальная и соединительные части;ТМК;S;D0;143,67;214;0101-01006;@;0
00000003320;Труба сталь ВГП Ду50 s=3,5мм ГОСТ 3262-75 ТМК;798,09;Трубопроводы и соединительные части;Труба стальная и соединительные части;ТМК;S;D0;179,76;271;0101-01007;@;0
00000003321;Труба сталь ВГП Ду65 s=4,0мм ГОСТ 3262-75 ТМК;0;Трубопроводы и соединительные части;Труба стальная и соединительные части;ТМК;S;D2;226,17;337;0101-01016;@;0
00000003322;Труба сталь ВГП Ду80 s=4,0мм ГОСТ 3262-75 ТМК;35,4;Трубопроводы и соединительные части;Труба стальная и соединительные части;ТМК;S;P2;234,62;428;0101-01017;0;0
00000003323;Труба сталь ВГП оц Ду15 s=2,8мм ГОСТ 3262-75 ТМК;132,7;Трубопроводы и соединительные части;Труба стальная и соединительные части;ТМК;S;P2;68,69;102;0101-00468;@;0
00000003324;Труба сталь ВГП оц Ду20 s=2,8мм ГОСТ 3262-75 ТМК;375,5;Трубопроводы и соединительные части;Труба стальная и соединительные части;ТМК;S;P2;80,44;146;0101-00469;@;0
00000003325;Труба сталь ВГП оц Ду25 s=3,2мм ГОСТ 3262-75 ТМК;295;Трубопроводы и соединительные части;Труба стальная и соединительные части;ТМК;S;D2;139,23;214;0101-00470;@;0
00000003326;Труба сталь ВГП оц Ду32 s=3,2мм ГОСТ 3262-75 ТМК;329,1;Трубопроводы и соединительные части;Труба стальная и соединительные части;ТМК;S;Pz;175,08;264;0101-00471;@;0
00000003327;Труба сталь ВГП оц Ду40 s=3,5мм ГОСТ 3262-75 ТМК;180;Трубопроводы и соединительные части;Труба стальная и соединительные части;ТМК;S;P2;223,49;360;0101-00472;@;0
00000003328;Труба сталь ВГП оц Ду50 s=3,5мм ГОСТ 3262-75 ТМК;772,4;Трубопроводы и соединительные части;Труба стальная и соединительные части;ТМК;S;D0;277,16;453;0101-00473;@;0
00000003330;Труба сталь ВГП оц Ду80 s=4,0мм ГОСТ 3262-75 ТМК;2,93;Трубопроводы и соединительные части;Труба стальная и соединительные части;ТМК;S;P2;472,71;711;0101-00475;0;0
00000003333;Труба сталь эл/св Дн76х3,5 ГОСТ 10704-91 ТМК;701,2;Трубопроводы и соединительные части;Труба стальная и соединительные части;ТМК;S;D1;230,42;343;0101-00963;@;0
00000003334;Труба сталь эл/св Дн89х3,5 ГОСТ 10704-91 ТМК;572,4;Трубопроводы и соединительные части;Труба стальная и соединительные части;ТМК;S;D0;271;408;0101-01136;@;0
00000003337;Труба сталь эл/св Дн219х6,0 ГОСТ 10704-91 ТМК;58;Трубопроводы и соединительные части;Труба стальная и соединительные части;ТМК;S;P2;1 189,9;1 773;0101-01138;@;0
00000003367;Муфта PP-R усиленн комбинированн разъемн Дн32х1 1/4" НР ПК Контур 011301032400;89;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;313,17;673,5;0105-01025;@;0
00000003414;Гайка М10;4,5;Трубопроводы и соединительные части;Крепежные изделия;_;S;D0;81,81;120;0112-00459;@;0
00000003417;Труба сталь эл/св Дн108х3,5 ГОСТ 10704-91 ТМК;778;Трубопроводы и соединительные части;Труба стальная и соединительные части;ТМК;S;D1;330,6;498;0101-01171;@;0
00000003418;Труба сталь эл/св Дн57х3,5 ГОСТ 10704-91 ТМК;1 210,5;Трубопроводы и соединительные части;Труба стальная и соединительные части;ТМК;S;D1;169,7;253;0101-01172;@;0
00000003422;Обвод PP-R белый Дн32 ПК Контур 011602032000;268;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;33,16;71,3;0105-00725;@;0
00000003434;Термометр ртутный  прям  L=66мм 100С Термоприбор;7;Приборы учета и КИП;Термометры, манометры;Термоприбор;S;P2;245,26;397;0701-00018;&;0
00000003462;Крестовина PP-R Дн20 ПК Контур 011604020000;100;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;7,26;15,6;0105-01027;@;0
00000003463;Крестовина PP-R Дн40 ПК Контур 011604040000;28;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;Z;D0;35,9;77,2;0105-01028;&;0
00000003476;Пробка PP-R Дн40 ПК Контур 011606040000;31;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;11,26;24,2;0105-01029;@;0
00000003530;Болт М10х70;11;Трубопроводы и соединительные части;Крепежные изделия;_;S;P2;77,03;113;0112-00460;0;0
00000003531;Болт М12х50 вес ГОСТ 7798-70;32;Трубопроводы и соединительные части;Крепежные изделия;_;S;P2;54,74;81;0112-00340;0;0
00000003533;Болт М14х70 вес ГОСТ 7798-70;28;Трубопроводы и соединительные части;Крепежные изделия;_;S;Pz;74,14;109;0112-00342;@;0
00000003534;Болт М16х60 вес ГОСТ 7798-70;59,5;Трубопроводы и соединительные части;Крепежные изделия;_;S;P2;60,12;89;0112-00343;&;0
00000003535;Болт М16х70 вес ГОСТ 7798-70;15,5;Трубопроводы и соединительные части;Крепежные изделия;_;S;D2;65,02;96;0112-00344;@;0
00000003537;Болт М16х80 вес ГОСТ 7798-70;77;Трубопроводы и соединительные части;Крепежные изделия;_;S;D0;65,02;96;0112-00345;@;0
00000003538;Болт М16х90 вес ГОСТ 7798-70;500;Трубопроводы и соединительные части;Крепежные изделия;_;S;P2;60,12;89;0112-00346;@;0
00000003539;Болт М20х70;1;Трубопроводы и соединительные части;Крепежные изделия;_;Q;D0;71;80;0112-00462;&;0
00000003540;Болт М20х80 вес ГОСТ 7798-70;27;Трубопроводы и соединительные части;Крепежные изделия;_;S;P2;67,54;99;0112-00347;@;0
00000003541;Гайка М12  вес ГОСТ 5915-70;20;Трубопроводы и соединительные части;Крепежные изделия;_;S;P2;77,96;115;0112-00356;@;0
00000003542;Гайка М14  вес ГОСТ 5915-70;21;Трубопроводы и соединительные части;Крепежные изделия;_;S;P2;80,77;119;0112-00357;@;0
00000003543;Гайка М16  вес ГОСТ 5915-70;51,1;Трубопроводы и соединительные части;Крепежные изделия;_;S;D2;82,6;121;0112-00358;@;0
00000003545;Гайка М20  вес ГОСТ 5915-70;107;Трубопроводы и соединительные части;Крепежные изделия;_;S;P2;77,29;114;0112-00359;@;0
00000003546;Гайка М24  вес ГОСТ 5915-70;0;Трубопроводы и соединительные части;Крепежные изделия;_;S;D2;71,83;129;0112-00360;0;0
00000003556;Клик 25;656;Трубопроводы и соединительные части;Крепежные изделия;_;S;D1;1,35;3;0112-00464;&;0
00000003564;Труба PP-H серый Дн50х1,8 б/нап L=0,25м в комплекте Ostendorf  033-0214;6;Водоотведение;Трубы для внутреннего водоотведения и соед части;Ostendorf;S;P2;26,13;37;0201-00042;0;0
00000003566;Труба PP-H серый Дн50х1,8 б/нап L=1м в комплекте Ostendorf  033-0217;1;Водоотведение;Трубы для внутреннего водоотведения и соед части;Ostendorf;S;P2;53,12;76;0201-00044;0;0
00000003567;Труба PP-H серый Дн50х1,8 б/нап L=2м в комплекте Ostendorf;6;Водоотведение;Трубы для внутреннего водоотведения и соед части;Ostendorf;S;P2;92,16;130;0201-00045;0;0
00000003568;Труба PP-H серый Дн110х2,7 L=0,25м в комплекте Ostendorf  033-0196;1;Водоотведение;Трубы для внутреннего водоотведения и соед части;Ostendorf;S;P2;63,21;91;0201-00046;0;0
00000003570;Труба PP-H серый Дн110х2,7 L=1м в комплекте Ostendorf  033-0199;1;Водоотведение;Трубы для внутреннего водоотведения и соед части;Ostendorf;S;P2;140,79;203;0201-00048;0;0
00000003571;Труба PP-H серый Дн110х2,7 L=2м в комплекте Ostendorf  033-0201;2;Водоотведение;Трубы для внутреннего водоотведения и соед части;Ostendorf;S;P2;228,22;336;0201-00049;0;0
00000003574;Отвод PP-H серый Дн50х45° б/нап в комплекте Ostendorf;312;Водоотведение;Трубы для внутреннего водоотведения и соед части;Ostendorf;S;P2;10,96;18;0201-00052;0;0
00000003576;Отвод PP-H серый Дн50х87,5° б/нап в комплекте Ostendorf  027-1775;4;Водоотведение;Трубы для внутреннего водоотведения и соед части;Ostendorf;S;P2;11,8;19;0201-00054;0;0
00000003581;Отвод PP-H серый Дн110х87,5° б/нап в комплекте Ostendorf  027-1764;1;Водоотведение;Трубы для внутреннего водоотведения и соед части;Ostendorf;S;P2;39,74;66;0201-00059;0;0
00000003582;Тройник PP-H серый Дн50х50х45° б/нап в комплекте Ostendorf  027-1810;15;Водоотведение;Трубы для внутреннего водоотведения и соед части;Ostendorf;S;P2;23,68;38;0201-00076;0;0
00000003584;Тройник PP-H серый Дн50х50х87,5° б/нап в комплекте Ostendorf  027-1812;1;Водоотведение;Трубы для внутреннего водоотведения и соед части;Ostendorf;S;P2;23,6;38;0201-00078;0;0
00000003585;Тройник PP-H серый Дн110х50х45° б/нап в комплекте Ostendorf  027-1802;4;Водоотведение;Трубы для внутреннего водоотведения и соед части;Ostendorf;S;P2;43,32;71;0201-00079;0;0
00000003588;Тройник PP-H серый Дн110х110х45° б/нап в комплекте Ostendorf  027-1799;90;Водоотведение;Трубы для внутреннего водоотведения и соед части;Ostendorf;S;P2;69,33;114;0201-00081;0;0
00000003590;Тройник PP-H серый Дн110х110х87,5° б/нап в комплекте Ostendorf  027-1801;2;Водоотведение;Трубы для внутреннего водоотведения и соед части;Ostendorf;S;P2;65,27;105;0201-00083;0;0
00000003591;Переход PP-H серый Дн110х50 б/нап в комплекте Ostendorf  027-1787;37;Водоотведение;Трубы для внутреннего водоотведения и соед части;Ostendorf;S;P2;41,67;68;0201-00086;@;0
00000003594;Крест PP-H серый Дн110х110х67,5° б/нап в комплекте Ostendorf;12;Водоотведение;Трубы для внутреннего водоотведения и соед части;Ostendorf;S;P2;186,74;302;0201-00090;0;0
00000003595;Патрубок PP-H серый компенсационн Дн50 б/нап в комплекте Ostendorf  027-1784;2;Водоотведение;Трубы для внутреннего водоотведения и соед части;Ostendorf;S;P2;60,2;97;0201-00098;0;0
00000003598;Муфта PP-H серый 2-х растр Дн50 б/нап в комплекте Ostendorf  027-1754;16;Водоотведение;Трубы для внутреннего водоотведения и соед части;Ostendorf;S;P2;18,88;30;0201-00069;0;0
00000003599;Муфта PP-H серый 2-х растр Дн110 б/нап в комплекте Ostendorf  027-1750;23;Водоотведение;Трубы для внутреннего водоотведения и соед части;Ostendorf;S;P2;38,04;62;0201-00070;0;0
00000003601;Муфта PP-H серый надвижн Дн110 б/нап в комплекте Ostendorf  027-1751;3;Водоотведение;Трубы для внутреннего водоотведения и соед части;Ostendorf;S;P2;36,82;61;0201-00068;0;0
00000003602;Заглушка PP-H серый Дн50 б/нап Ostendorf;77;Водоотведение;Трубы для внутреннего водоотведения и соед части;Ostendorf;S;P2;8,32;14;0201-00094;0;0
00000003604;Ревизия PP-H серый Дн50 б/нап с крышкой в комплекте Ostendorf  027-1796;74;Водоотведение;Трубы для внутреннего водоотведения и соед части;Ostendorf;S;P2;97,23;158;0201-00092;0;0
00000003605;Ревизия PP-H серый Дн110 б/нап с крышкой в комплекте Ostendorf  027-1795;2;Водоотведение;Трубы для внутреннего водоотведения и соед части;Ostendorf;S;P2;110,8;183;0201-00093;0;0
00000003607;Переход PP-H серый на чугун Дн110 б/нап в комплекте Ostendorf  027-1786;15;Водоотведение;Трубы для внутреннего водоотведения и соед части;Ostendorf;S;P2;115,7;187;0201-00101;0;0
00000003616;Зачистка для арм ПП труб  20-25;4;Инструмент и сварочное оборудование;Инструмент и сопутствующие товары;_;S;D0;704,46;996;1201-00586;&;0
00000003617;Зачистка для арм ПП труб  32-40;2;Инструмент и сварочное оборудование;Инструмент и сопутствующие товары;_;S;D0;736,4;1 236;1201-00587;&;0
00000003653;Кран PP-R шаровой белый Дн20 ПК Контур 011101020000;550;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D2;83,24;179;0301-00005;@;0
00000003654;Кран PP-R шаровой белый Дн25  ПК Контур 011101025000;0;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D2;113,98;245,1;0301-02464;@;0
00000003718;Прокладка паронит  1/2"  черный;150;Сантехника;Подводка гибкая;_;S;P2;1,06;3;0912-00339;@;0
00000003742;Труба PP-R белый Дн63х10,2 Ру20 80C L=4м ПК Контур 010200063000;580;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;232,68;500,4;0105-00634;@;0
00000003743;Муфта PP-R Дн63 ПК Контур 011201063000;122;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D1;29,71;63,9;0105-01030;@;0
00000003744;Угольник PP-R белый Дн63 ПК Контур 011401063000;361;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;56,73;122;0105-01031;@;0
00000003745;Тройник PP-R комбинированн белый Дн25х1/2" ВР ПК Контур 011512025100;252;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;37,29;80,2;0105-00712;@;0
00000003746;Тройник PP-R комбинированн белый Дн25х3/4" ВР ПК Контур 011512025200;83;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;P2;47,66;102,5;0105-00713;@;0
00000003760;Винт-шуруп М8х100;62;Трубопроводы и соединительные части;Крепежные изделия;_;S;D2;3,91;6;0112-00043;@;0
00000003761;Смазка 150гр Ostendorf;0;Изоляция и уплотнение;Уплотнительные материалы;Ostendorf;S;D2;61,86;88;1002-00037;0;0
00000003763;Смазка 500гр Ostendorf;7;Изоляция и уплотнение;Уплотнительные материалы;Ostendorf;S;P2;116,34;165;1002-00039;0;0
00000003771;Труба сталь эл/св Дн159х4,5 ГОСТ 10704-91 ТМК;162,44;Трубопроводы и соединительные части;Труба стальная и соединительные части;ТМК;S;D0;639,87;953;0101-01176;@;0
00000003775;Теплосчетчик Sensonic II подача 1,5м3/ч Ду15 Ista 59148 без проточной части;1;Приборы учета и КИП;Теплосчетчики;Ista;Z;NL;4 894,65;5 342;0705-00197;&;0
00000003779;Соединение для теплосчетчика Sensonic EAS  (проточная часть) Ду15 3/4" Sensonic 14103;5;Приборы учета и КИП;Комплектующие для КИП;Sensonic;S;P2;958,55;1 388;0705-00201;0;0
00000003784;Переход сталь Дн57х25 ГОСТ 17378-2001 ПЗКТ;133;Трубопроводы и соединительные части;Труба стальная и соединительные части;ПЗКТ;S;P2;23,41;39;0101-00102;&;0
00000003855;Пробка PP-R Дн32 ПК Контур 011606032000;55;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;5,9;12,7;0105-01034;@;0
