b0100013026;Соединение PP-R муфт разъемн Дн20 ПК Контур 011317020010;32;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;Z;D0;35,25;75,8;0105-01150;&;0
b0100013027;Соединение PP-R муфт разъемн Дн25 ПК Контур 011317025010;20;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;Z;D0;44,83;96,4;0105-01151;&;0
b0100013066;Бурт PP-R трубн Дн20 ПК Контур 011309020000;830;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;Q;D0;4,55;9,8;0105-01152;&;0
b0100013609;Конвектор Универсал ТБ-А КСК-20 0,400кВт прох без з/у резьба прав/лев тип У1 Сантехпром;1;Отопительное оборудование;Конвекторы;Сантехпром;Z;NL;853,56;1 280;0501-01873;@;0
b0100013925;Кран шаровой сталь вода КШЦФ Ду50 Ру40 фл полный проход рычаг LD 11110500402MULD000000000;3;Запорная арматура;Краны;LD;S;D1;1 529,55;1 980;0301-00723;@;0
b0100013996;Муфта латунь переходн никель Ду1 1/2"х2" ВР General Fittings;4;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;General Fittings;S;D0;356,59;533,52;0111-01188;&;0
b0100013992;Клапан термостатическ  Ду15 прям Giacomini R402X133;1;Отопительное оборудование;Регулирующая арматура и узлы подключения для приборов отопления;Giacomini;Q;NL;306,92;407,01;0503-00186;&;0
b0100014111;Тройник латунь Дн26х1/2"х26 пресс ВР Valtec VTm.232.N.260426;3;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Valtec;Z;NL;249,15;452;0103-00997;&;0
b0100014115;Клапан запорн латунь 15б3р Ду15 Ру10  ВР/ВР  STC 0100;20;Запорная арматура;Клапаны;STC;S;D1;100,09;183,33;0304-00001;&;0
b0100014116;Клапан запорн латунь 15б3р Ду20 Ру10  ВР/ВР  STC 0100;105;Запорная арматура;Клапаны;STC;S;P2;131,75;242,57;0304-00002;&;0
b0100014117;Клапан запорн латунь 15б3р Ду25 Ру10  ВР/ВР  STC 0100;30;Запорная арматура;Клапаны;STC;S;D0;193,04;355,94;0304-00003;&;0
b0100014118;Клапан запорн латунь 15б3р Ду32 Ру10  ВР/ВР  STC 0100;10;Запорная арматура;Клапаны;STC;S;D0;344,71;633,75;0304-00004;&;0
b0100014119;Клапан запорн латунь 15б3р Ду40 Ру10 ВР/ВР STC 0100;37;Запорная арматура;Клапаны;STC;S;P2;422,26;1 057,61;0304-00031;&;0
b0100014120;Клапан запорн латунь 15б3р Ду50 Ру10 ВР/ВР STC 0100;1;Запорная арматура;Клапаны;STC;S;D2;679,71;1 249,12;0304-00303;&;0
b0100014123;Клапан запорн латунь 15б1п Ду20 Ру16 ВР/ВР STC 0200;53;Запорная арматура;Клапаны;STC;S;D0;134,82;261,98;0304-00006;&;0
b0100014124;Клапан запорн латунь 15б1п Ду25 Ру16 ВР/ВР STC 0200;31;Запорная арматура;Клапаны;STC;S;D0;183,33;385,05;0304-00007;&;0
b0100014125;Клапан запорн латунь 15б1п Ду32 Ру16 ВР/ВР STC 0200;28;Запорная арматура;Клапаны;STC;S;D0;322,24;647,54;0304-00050;&;0
b0100014126;Клапан запорн латунь 15б1п Ду40 Ру16 ВР/ВР STC 0200;2;Запорная арматура;Клапаны;STC;S;D2;498,42;1 089,28;0304-00008;&;0
