код;Наименование;Цена, руб;Наличие;Примечание;Комментарий
b9300054688;Тройник сталь Дн630х12,0 ОСТ 34.10.762-97 УТД;0.00;-;Товар заказной;
00000012983;Тройник сталь Дн426х10,0-325х8,0 ГОСТ 17376-2001 УТД;0.00;-;Товар заказной;
00000012980;Тройник сталь Дн426х10,0 ГОСТ 17376-2001 УТД;0.00;-;Товар заказной;
b0100018185;Фланец сталь воротниковый Ду500 Ру16 исп.1 ГОСТ 12821-80;17231.28;в наличии;Товар заказной;
00000002044;Компенсатор Dl7240 Ду300 Ру10 фл Tecofi DI7240-0300;17649.23;в наличии;Товар заказной;
b9300051849;Гайка М4 вес;0.00;-;Товар заказной;
00000004541;Гайка М18 вес;144.69;в наличии;;
b9300054390;Муфта соединит  ДРК Дн100 (108-128мм) L=150мм  013-0593;0.00;-;Товар заказной;
b9300041142;Муфта соединит  чугун ПФРК Ду200 Ру16;0.00;-;Товар заказной;
