b0100005295;Угольник латунь уст Дн16х1/2" alpex-duo пресс ВР L=35мм Fraenkische 86816720;397;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Fraenkische;S;Pz;196,84;411,45;0103-00891;@;0;0
b0100005296;Угольник латунь уст Дн20х1/2" alpex-duo пресс ВР L=35мм Fraenkische 86820720;40;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Fraenkische;S;D1;258,53;540,4;0103-00892;@;0;0
b0100005334;Задвижка аналог МЗВГ VOC4241 чугун Ду200 Ру16 130С Tecofi;32;Запорная арматура;Задвижки;Tecofi;S;P2;14 724,38;25 116,18;0302-00111;@;0;0
mt000000046;Ключ имбусовый (шестигранник) MATRIX 2-12мм набор 9шт  11227;15;Инструмент и сварочное оборудование;Инструмент и сопутствующие товары;MATRIX;S;P2;243,41;332;1201-00951;&;0;0
b0100018185;Фланец сталь воротниковый Ду500 Ру16 исп.1 ГОСТ 12821 Вагант;2;Трубопроводы и соединительные части;Труба стальная и соединительные части;Вагант;Z;NL;16 106;17 233;0101-01561;&;0;8
b0100024573;Труба НПВХ Дн315х7,7 L=6,14м Хемкор;0;Водоотведение;Трубы для наружного водоотведения и соед части;Хемкор;Z;D0;4 407,32;6 170;0202-00272;&;0;8
b0100024593;Штуцер латунь Дн16х1/2" для PE-X ВР Uponor 1023009;7;Трубопроводы и соединительные части;Труба из сшитого полиэтилена (Pex)и соединительные части;Uponor;S;D0;171,44;343,43;0104-00072;&;0;0
b0100020344;Унитаз-компакт Виктория косой выпуск эконом Sanita;0;Сантехника;Унитазы;Sanita;S;D2;2 880,9;4 277;0902-00577;@;0;0
b0100020346;Клапан терморегулирующий  Ду20 угл ручной Giacomini R5X034;13;Отопительное оборудование;Регулирующая арматура и узлы подключения для приборов отопления;Giacomini;S;P2;532,14;767;0503-00017;&;0;0
b0100020377;Трубка ST 108/13 L=2м 105C K-Flex;62;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;S;D0;343,99;548,56;1001-00146;&;0;0
b0100020378;Трубка ST 108/19 L=2м 105C K-Flex;74;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;S;P2;547,43;942,78;1001-00147;&;0;0
b0100020385;Трубка ST 133/13 L=2м 105C K-Flex;53;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;S;Pz;562,15;896,44;1001-00144;&;0;0
b0100020386;Трубка ST 133/19 L=2м 105C K-Flex;1;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;Z;D0;723,86;1 340,72;1001-00092;@;0;1
b0100020395;Трубка ST 18/13 L=2м 105C K-Flex;35;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;S;D0;60,14;95,9;1001-00167;&;0;0
b0100020397;Трубка ST 22/9 L=2м 105C K-Flex;171;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;S;Pz;42,89;68,4;1001-00169;&;0;0
b0100020398;Трубка ST 22/13 L=2м 105C K-Flex;660;Изоляция и уплотнение;Изоляция и термоизоляция;K-Flex;S;P2;58,75;93,68;1001-00170;&;0;0
