код;Наименование;Цена, руб;Наличие;Примечание;Комментарий
b0100035388;Элемент нагревательный 7,5кВт Drazice 100541533;0.00;-;Товар заказной;
b9300041288;Пакет Electric KIT 3300В ATLANTIC 900310;9200.00;в наличии;Товар заказной;
b0100027424;Блок с п/управления для Warmos-QX Эван;4182.58;в наличии;Товар заказной;
b0100019704;Элемент нагревательный BAXI 95606963;0.00;-;Товар заказной;
b0100025337;Элемент нагревательный BACKER 6кВт 220В Эван;2933.71;в наличии;Товар заказной;
